GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Assignment1,parser,Parser,0,704,0,51,0,191,0,58,0,27
Assignment1,parser.node,ASTFor,0,31,0,0,0,12,0,6,0,6
Assignment1,parser.node,ASTBlock,0,21,0,0,0,9,0,4,0,4
Assignment1,parser.node,ASTFunctionCall,0,19,0,0,0,8,0,4,0,4
Assignment1,parser.node,Type,0,34,0,0,0,4,0,1,0,1
Assignment1,parser.node,ASTFormalParam,0,13,0,0,0,6,0,3,0,3
Assignment1,parser.node,ASTWhile,0,19,0,0,0,8,0,4,0,4
Assignment1,parser.node,ASTAssignment,0,22,0,0,0,9,0,5,0,5
Assignment1,parser.node,ASTFormalParams,0,13,0,0,0,6,0,3,0,3
Assignment1,parser.node,ASTBooleanLiteral,0,16,0,0,0,6,0,3,0,3
Assignment1,parser.node,ASTFloatLiteral,0,16,0,0,0,6,0,3,0,3
Assignment1,parser.node,ASTIf,0,25,0,0,0,10,0,5,0,5
Assignment1,parser.node,ASTReturn,0,13,0,0,0,6,0,3,0,3
Assignment1,parser.node,ASTIntegerLiteral,0,16,0,0,0,6,0,3,0,3
Assignment1,parser.node,ASTFunctionDecl,0,25,0,0,0,10,0,5,0,5
Assignment1,parser.node,ASTUnary,0,19,0,0,0,8,0,4,0,4
Assignment1,parser.node,ASTVariableDecl,0,22,0,0,0,9,0,5,0,5
Assignment1,parser.node,ASTBinExpression,0,25,0,0,0,10,0,5,0,5
Assignment1,parser.node,ASTActualParams,0,21,0,0,0,9,0,4,0,4
Assignment1,parser.node,ASTPrint,0,13,0,0,0,6,0,3,0,3
Assignment1,parser.node,ASTIdentifier,0,29,0,0,0,13,0,6,0,6
Assignment1,parser.node,ASTProgram,0,13,0,0,0,6,0,3,0,3
Assignment1,visitor,VisitorInterpreter,0,1061,0,103,0,225,0,82,0,24
Assignment1,visitor,Scope,0,50,0,0,0,14,0,8,0,8
Assignment1,visitor,VisitorXMLGenerator,0,1009,0,22,0,185,0,36,0,25
Assignment1,visitor,VisitorSemanticAnalysis,0,922,0,88,0,214,0,73,0,24
Assignment1,visitor,SymbolTable,0,202,0,20,0,55,0,28,0,18
Assignment1,lexer,Keyword,0,96,0,0,0,17,0,2,0,2
Assignment1,lexer,State,0,304,0,0,0,31,0,1,0,1
Assignment1,lexer,Lexer,0,7454,0,60,0,1382,0,48,0,9
Assignment1,lexer,TypeToken,0,314,0,0,0,32,0,1,0,1
Assignment1,lexer,Category,0,224,0,0,0,23,0,1,0,1
Assignment1,lexer,Operand,0,78,0,0,0,14,0,2,0,2
Assignment1,lexer,Lexer.new HashMap() {...},0,141,0,0,0,29,0,1,0,1
Assignment1,lexer,Transition,0,50,0,8,0,13,0,7,0,3
Assignment1,lexer,Token,0,16,0,0,0,6,0,3,0,3
Assignment1,exceptions,ReturnTypeMismatchException,0,4,0,0,0,2,0,1,0,1
Assignment1,exceptions,InvalidSyntaxException,0,4,0,0,0,2,0,1,0,1
Assignment1,exceptions,IncorrectTypeException,0,4,0,0,0,2,0,1,0,1
Assignment1,exceptions,UndeclaredException,0,4,0,0,0,2,0,1,0,1
Assignment1,exceptions,AlreadyDeclaredException,0,4,0,0,0,2,0,1,0,1
